name_pinyin,name_hanzi,birth,service,current_post,post_status,rank,network_notes,projection_tier,corruption_exposure,political_risk,confidence_tag
Zhou Jingjiong,周晶炯,unknown,Rocket Force (political),Acting Rocket Force PC,acting (since Dec 2025),Lieutenant General,unpublished bio,RF PC if regularized,moderate,moderate,WIKI/REPORTED
Wang Hongli,王红理,1967,Navy,Navy Equipment Department Director,incumbent (since 2022),Vice Admiral,submarine hero (2014 sub-372); equipment portfolio,bellwether for shipbuilding-graft wave,HIGHEST serving structural exposure,high,WIKI
Wang Zhongcai,王仲才,1963-11,Navy,East Sea Fleet Commander,incumbent (since Jun 2022),Vice Admiral,ex-China Coast Guard cmdr; gray-zone portfolio,Navy deputy/commander stopgap,low,moderate,WIKI
Mei Wen,梅文,1965,Navy (political),Eastern TC Navy PC,incumbent (since Mar 2022),Vice Admiral,first Liaoning PC; carrier community,Navy PC candidate,low,low-moderate,WIKI
Zhang Like,张立克,1967-01,Navy,Director CMC National Defense Mobilization Dept,incumbent (since Oct 2025),Vice Admiral,Navy officer in Army seat; war-preparation portfolio,riser; 2026 inner-ring seating,low,low-moderate,WIKI
Wang Haijiang,汪海江,1963-07,Army,Western TC Commander,VANISHED ~Sep 2025,General,Vietnam combat vet; Tibet/Xinjiang fast-track,Tier-1 vanished,low,realized,OFFICIAL post/REPORTED absence
Hu Zhongming,胡中明,1964-01,Navy,Navy Commander,VANISHED since May 2025,Admiral,submariner; Miao-era sponsorship (reported),Tier-1 vanished,moderate,realized,REPORTED
Chang Dingqiu,常丁求,1967-01,Air Force,PLAAF Commander,VANISHED ~Nov 2025,General,youngest full general in PLA history,Tier-1 vanished (death rumor),unknown,realized,INFERRED/RUMOR
Wu Yanan,吴亚男,1962-08,Army,Southern TC Commander,VANISHED ~Oct 2025,General,armor officer; ex-CTC cmdr,Tier-1 vanished,low,realized,OFFICIAL post/INFERRED absence
Huang Ming,黄铭,1963,Army,Northern TC Commander,VANISHED ~Sep 2025,General,Shenyang/NE lifer,Tier-1 vanished,low,realized,OFFICIAL post/INFERRED absence
Zhang Youxia,张又侠,1950,Army,ex-CMC Vice Chairman,PURGED (stripped 28 Aug 2026),General (stripped),princeling; ex-EDD director; Xi ally,purged,high (armaments patron),realized,OFFICIAL
Liu Zhenli,刘振立,1964,Army,ex-CMC member / Chief of Joint Staff,PURGED (stripped 28 Aug 2026),General (stripped),combat vet; operational heir,purged,moderate,realized,OFFICIAL
He Weidong,何卫东,1957,Army,ex-CMC Vice Chairman,PURGED (expelled 17 Oct 2025),General (expelled),31st GA/Fujian network head,purged,high,realized,OFFICIAL
Miao Hua,苗华,1955,Navy (political),ex-PWD Director,PURGED (expelled 17 Oct 2025),Admiral (expelled),political-work network head; promotion market,purged,high (promotion market),realized,OFFICIAL
Wang Houbin,王厚斌,1961,Navy->Rocket Force,ex-RF Commander,PURGED (expelled 17 Oct 2025),General (expelled),cross-service transplant 2023,purged,high,realized,OFFICIAL
Wei Fenghe,魏凤和,1954,Rocket Force,ex-Defense Minister / founding RF cmdr,SENTENCED (death w/reprieve 7 May 2026),General (expelled),RF lineage founder,purged/sentenced,high,realized,OFFICIAL
Li Shangfu,李尚福,1958,Army (armaments),ex-Defense Minister / ex-EDD director,SENTENCED (death w/reprieve 7 May 2026),General (expelled),armaments/EDD; took & gave bribes,purged/sentenced,high,realized,OFFICIAL
Zhong Shaojun,钟绍军,1968-10,Army (political),ex-Director CMC General Office,PURGED (stripped 28 Aug 2026),Lieutenant General (stripped),Xi's personal military secretary; Zhejiang,purged; broke the last patron template,moderate (cadre selection),realized,OFFICIAL
Hao Weizhong,郝卫中,1961,Aerospace Force,Aerospace Force Commander,incumbent (since Apr 2024),Lieutenant General,space technocrat; Taiyuan SLC,aging out ~2027; no visible heir,low,low,WIKI
Han Xiaodong,韩晓东,unknown,Cyberspace Force (political),Cyberspace Force PC,incumbent (since Apr 2024),Lieutenant General,cross-service transplant; survivor,CSF-track,low,moderate,WIKI
Liu Lin,柳林,1964,Army,Xinjiang Military District Commander,incumbent (since Sep 2021, possible 2026 departure),Lieutenant General,Galwan-era India negotiator,fast-track chair (but see Wang Haijiang),low,moderate,WIKI
Cao Junzhang,曹均章,1965,PAP,Acting PAP Commander,acting (since Jul 2025, possibly superseded),General,ex-13th GA; ex-JLSF deputy,internal-security track,moderate-high (logistics tour),moderate,REPORTED/WIKI
